FA-S.1;I lost myself in this experience.
FA-S.2;The time I spent watching the Ad just slipped away.
FA-S.3;I was absorbed in this Ad.
PU-S.1;I felt frustrated while watching this Ad.
PU-S.2;I found this Ad confusing.
PU-S.3;Watching this Ad was taxing.
AE-S.1;This Ad was attractive.
AE-S.2;This Ad was aesthetically appealing.
AE-S.3;This Ad appealed to my senses.
RW-S.1;Watching this Ad was worthwhile.
RW-S.2;My experience was rewarding.
RW-S.3;I felt interested in this experience.
