avgShotLenAd,avgColVarAd,avgMotionMeanAd,avgMotionStdAd,avgLightKeyAd,videoName
306,11801385.1270356,0.00243218923439053,0.00978829212893699,0.112134733143487,AD_01
35.4736842105263,35761.8967611458,0.00632118183619242,0.0195216758947077,0.126233777893058,AD_02
26.5294117647059,63457.5526762521,0.00245788787269192,0.00987398637049359,0.0909028687232556,AD_03
81.8181818181818,29016.7386088205,0.00196473522840012,0.0108154143887886,0.0571582683136924,AD_04
42.8095238095238,6398881.90090704,0.00172322310209518,0.00694384773141201,0.192282170770307,AD_05
150,59208.0640783866,0.00161246742306724,0.00657807375541276,0.0784596860507965,AD_06
25.3888888888889,377735.075168672,0.00375403192149684,0.0117595945632789,0.0867275843365602,AD_07
72.0666666666667,1002674.19606342,0.00267482594225437,0.014178989584859,0.109460759294869,AD_08
184.8,584499.362693053,0.00072675683267063,0.00351079851797574,0.0685633272475466,AD_09
75,9948158.68016743,0.00251362074386162,0.013056405207642,0.0943895214762992,AD_10
26.1666666666667,40434852.1546497,0.00384475980683948,0.015839652820524,0.132319579667848,AD_11
23.7368421052632,38712774.1709894,0.00488681812416729,0.0159720985651353,0.131137925786404,AD_12
29.1290322580645,3927667.90787637,0.0029735003204266,0.0150193593622103,0.0793243169061476,AD_13
28.2352941176471,12588671.5893023,0.00154697123780017,0.0073437832989718,0.134307923093022,AD_14
22.3255813953488,1062820.03402547,0.00721489701882014,0.0189185904092149,0.113862506929642,AD_15
41.8541666666667,3473984.60945334,0.00316304914570017,0.0108901442983072,0.109753929777759,AD_16
38.9142857142857,2809260.46559262,0.00268476694804238,0.01132778866035,0.180500361706847,AD_17
51.4166666666667,5089492.14479962,0.00102136783429244,0.00497306859825678,0.172832558798096,AD_18
847.5,1208800.82376615,0.00153266852021616,0.00955113601142632,0.141077052924199,AD_19
345,23941328.0669682,0.00288512317605443,0.0163382325621281,0.150710090083767,AD_20
91.0434782608696,121758.519281109,0.00128889809951537,0.0071757685423589,0.0679516267172293,AD_21
102.619047619048,7689.05769778211,0.00254923899366844,0.0115717697145531,0.0809010051378077,AD_22
36.3166666666667,955462.432123946,0.00286968338798244,0.00757068533509298,0.0730940905254909,AD_23
39.5,179718.629227116,0.00245689040277728,0.00873966018836698,0.107051584707356,AD_24
51.258064516129,328574.422501406,0.00265599386511571,0.00979560038126576,0.0763555896945977,AD_25
75.6666666666667,1498613.40439782,0.00162770902156062,0.00662787746942031,0.171593706134235,AD_26
47.4473684210526,2294618.88296717,0.00225942607332162,0.00856902848726476,0.160037702815791,AD_27
44.843137254902,1754337.59839509,0.00152991336384798,0.00750241059498635,0.0866424125188764,AD_28
41,16022103.8597266,0.00404490234332395,0.0166465476643365,0.143264246258993,AD_29
47.5,1000727.20851769,0.00132491427945779,0.00556158360110352,0.195043553502922,AD_30
